"Name","Country","Acronym","Estimated Yearly Funds (USD)","Grant Code Format Example","Regex"
"National Institutes of Health","USA","NIH",41000000000,"","(?i)national\s+institutes?\s+of\s+health"
"European Commission","EU","EC",13500000000,101000000,"(?i)euro?pean\s+comm?iss?ion"
"National Natural Science Foundation of China","China","NSFC",4500000004,81630001,"(?i)national\s+natural\s+sciences?\s+foundation\s+of\s+china"
"German Research Foundation","Germany","DFG",3500000000,"SFB 1361","(?i)german\s+research\s+foundation"
"Japan Agency for Medical Research and Development","Japan","AMED",1500000000,JP20fk0108104,"(?i)japan(?:ese)?\s+agency\s+for\s+medical\s+research\s+(?:and|&)\s+development"
"Wellcome Trust","UK","WT",1200000000,"209031/Z/17/Z","(?i)well?come?\s+trust|welcome\s+trust"
"Canadian Institutes of Health Research","Canada","CIHR",1000000000,"FDN-148477","(?i)cana?d(?:a|ian)\s+institutes?\s+of\s+health(?:\s+research)?"
"Medical Research Council","UK","MRC",900000000,"MR/N003713/1","(?i)medical\s+research\s+council"
"Howard Hughes Medical Institute","USA","HHMI",750000000,GT10178,"(?i)howard\s+hughes\s+medical\s+institute"
"Bill & Melinda Gates Foundation","USA","BMGF",5000000000,OPP1191684,"(?i)(?:[mg](?:elinda|ill)\s+(?:(?:and|&)\s+[mg](?:elinda|ill))?)?\s+gates\s+foundation"
"National Cancer Institute","USA","NCI",6400000000,"R01 CA123456","(?i)national\s+cancer\s+institut?es?"
"National Institute of Allergy and Infectious Diseases","USA","NIAID",6100000000,"R01 AI123456","(?i)national\s+institut?es?\s+of\s+allerg(?:y|ies)\s+(?:and|&)\s+infectious\s+diseases?"
"National Institute on Aging","USA","NIA",3900000000,"R01 AG123456","(?i)national\s+institut?es?\s+(?:on\s+)?aging"
"National Heart Lung and Blood Institute","USA","NHLBI",3700000000,"R01 HL123456","(?i)national\s+heart\s+lung\s+(?:and|&)\s+blood\s+institute"
"National Institute of General Medical Sciences","USA","NIGMS",3000000000,"R01 GM123456","(?i)national\s+institut?es?\s+of\s+general\s+medical\s+sciences?"
"National Institute of Neurological Disorders and Stroke","USA","NINDS",2500000000,"R01 NS123456","(?i)national\s+institut?es?\s+of\s+neurolog(?:y|ical)\s+disorders?\s+(?:and|&)\s+stroke"
"National Institute of Diabetes and Digestive and Kidney Diseases","USA","NIDDK",2200000000,"R01 DK123456","(?i)national\s+institut?es?\s+of\s+diabetes\s+(?:and|&)\s+digestive\s+(?:and|&)\s+kidney\s+diseases?"
"National Institute of Mental Health","USA","NIMH",2100000000,"R01 MH123456-01A1","(?i)national\s+institut?es?\s+of\s+mental\s+health"
"National Institute of Child Health and Human Development","USA","NICHD",1600000000,"R01 HD123456","(?i)national\s+institut?es?\s+(?:of|on)\s+child\s+health\s+(?:and|&)\s+human\s+development"
"National Institute on Drug Abuse","USA","NIDA",1500000000,"R01 DA123456","(?i)national\s+institut?es?\s+(?:of|on)\s+drug\s+abuse"
"National Institute of Environmental Health Sciences","USA","NIEHS",900000000,"R01 ES123456","(?i)national\s+institut?es?\s+of\s+environmental\s+health\s+sciences?"
"National Eye Institute","USA","NEI",800000000,"R01 EY123456","(?i)national\s+eye\s+institut?es?"
"National Human Genome Research Institute","USA","NHGRI",600000000,"R01 HG123456","(?i)national\s+human\s+genome\s+research\s+institut?es?"
"National Institute of Arthritis and Musculoskeletal and Skin Diseases","USA","NIAMS",650000000,"R01 AR123456","(?i)national\s+institut?es?\s+of\s+arthritis\s+(?:and|&)\s+musculoskeletal\s+(?:and|&)\s+skin\s+diseases?"
"National Institute on Alcohol Abuse and Alcoholism","USA","NIAAA",550000000,"R01 AA123456","(?i)national\s+institut?es?\s+(?:of|on)\s+alcohol\s+abuse\s+(?:and|&)\s+alcoholism"
"National Institute of Dental and Craniofacial Research","USA","NIDCR",500000000,"R01 DE123456","(?i)national\s+institut?es?\s+of\s+dental\s+(?:and|&)\s+craniofacial\s+research"
"National Library of Medicine","USA","NLM",450000000,"R01 LM123456","(?i)national\s+library\s+of\s+medicine"
"National Institute of Biomedical Imaging and Bioengineering","USA","NIBIB",400000000,"R01 EB123456","(?i)national\s+institut?es?\s+of\s+biomedical\s+imaging\s+(?:and|&)\s+bioengineering"
"National Institute on Minority Health and Health Disparities","USA","NIMHD",400000000,"R01 MD123456","(?i)national\s+institut?es?\s+(?:of|on)\s+minority\s+health\s+(?:and|&)\s+health\s+disparit(?:y|ies)"
"National Institute of Nursing Research","USA","NINR",180000000,"R01 NR123456","(?i)national\s+institut?es?\s+of\s+nursing\s+research"
"National Center for Complementary and Integrative Health","USA","NCCIH",150000000,"R01 AT123456","(?i)national\s+center\s+for\s+complementary\s+(?:and|&)\s+integrative\s+health"
