canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method
National Natural Science Foundation of China,National Natural Science Foundation,alias,China,,89214,99031,4.0sigma+consolidation
National Natural Science Foundation of China,NSFC,acronym,China,,7224,99031,4.0sigma+consolidation
National Natural Science Foundation of China,grants from the National Natural Science Foundation,alias,China,,2593,99031,4.0sigma+consolidation
National Natural Science Foundation of China,NNSFC,acronym_manual,China,,0,99031,4.0sigma+consolidation
National Natural Science Foundation of China,Natural Science Foundation of China,alias_manual,China,,0,99031,4.0sigma+consolidation
National Institutes of Health,NIH,acronym,USA,,71044,71044,4.0sigma+consolidation
National Science Foundation,National Science Foundation,primary,USA,,30741,45566,4.0sigma+consolidation
National Science Foundation,NSF,acronym,USA,,14825,45566,4.0sigma+consolidation
National Science Foundation,US National Science Foundation,alias_manual,USA,,0,45566,4.0sigma+consolidation
European Research Council,European Research Council,primary,EU,European Commission,15744,25664,4.0sigma+consolidation
European Research Council,ERC,acronym,EU,European Commission,9920,25664,4.0sigma+consolidation
Medical Research Council,Medical Research Council,primary,UK,UK Research and Innovation,16958,23913,4.0sigma+consolidation
Medical Research Council,MRC,acronym,UK,UK Research and Innovation,6955,23913,4.0sigma+consolidation
Medical Research Council,UK Medical Research Council,alias_manual,UK,UK Research and Innovation,0,23913,4.0sigma+consolidation
Japan Society for the Promotion of Science,Japan Society,alias,Japan,,11390,21489,4.0sigma+consolidation
Japan Society for the Promotion of Science,JSPS,acronym,Japan,,10099,21489,4.0sigma+consolidation
Deutsche Forschungsgemeinschaft,DFG,acronym,Germany,,12851,21342,4.0sigma+consolidation
Deutsche Forschungsgemeinschaft,German Research Foundation,alias,Germany,,8491,21342,4.0sigma+consolidation
Wellcome Trust,Wellcome Trust,primary,UK,,20201,21058,4.0sigma+consolidation
Wellcome Trust,a Wellcome Trust,alias,UK,,857,21058,4.0sigma+consolidation
Wellcome Trust,Wellcome,alias_manual,UK,,0,21058,4.0sigma+consolidation
National Research Foundation of Korea,National Research Foundation,alias,Korea,,10876,20271,4.0sigma+consolidation
National Research Foundation of Korea,NRF,acronym,Korea,,9395,20271,4.0sigma+consolidation
National Research Foundation of Korea,Korea National Research Foundation,alias_manual,Korea,,0,20271,4.0sigma+consolidation
Biotechnology and Biological Sciences Research Council,Biological Sciences Research Council,alias,UK,UK Research and Innovation,8471,16877,4.0sigma+consolidation
Biotechnology and Biological Sciences Research Council,BBSRC,acronym,UK,UK Research and Innovation,7583,16877,4.0sigma+consolidation
Biotechnology and Biological Sciences Research Council,Biotechnology and Biological Sciences Research Council,primary,UK,UK Research and Innovation,823,16877,4.0sigma+consolidation
Agence Nationale de la Recherche,ANR,acronym,France,,13195,15083,4.0sigma+consolidation
Agence Nationale de la Recherche,French National Research Agency,alias,France,,1888,15083,4.0sigma+consolidation
European Regional Development Fund,FEDER,acronym,EU,,6417,14188,4.0sigma+consolidation
European Regional Development Fund,European Regional Development Fund,primary,EU,,5071,14188,4.0sigma+consolidation
European Regional Development Fund,ERDF,acronym,EU,,2700,14188,4.0sigma+consolidation
National Cancer Institute,National Cancer Institute,primary,USA,National Institutes of Health,11148,11148,4.0sigma+consolidation
National Cancer Institute,NCI,acronym_manual,USA,National Institutes of Health,0,11148,4.0sigma+consolidation
Engineering and Physical Sciences Research Council,Engineering Research Council,alias,UK,UK Research and Innovation,7912,9922,4.0sigma+consolidation
Engineering and Physical Sciences Research Council,EPSRC,acronym,UK,UK Research and Innovation,2010,9922,4.0sigma+consolidation
Swiss National Science Foundation,Swiss National Science Foundation,primary,Switzerland,,6817,8624,4.0sigma+consolidation
Swiss National Science Foundation,SNF,acronym,Switzerland,,907,8624,4.0sigma+consolidation
Swiss National Science Foundation,SNSF,acronym,Switzerland,,900,8624,4.0sigma+consolidation
National Institute of Allergy and Infectious Diseases,NIAID,acronym,USA,National Institutes of Health,7857,7857,4.0sigma+consolidation
United States Department of Agriculture,USDA,acronym,USA,,7773,7773,4.0sigma+consolidation
Ministerio de Economia y Competitividad,Spanish Ministry,alias,Spain,,5709,7743,4.0sigma+consolidation
Ministerio de Economia y Competitividad,MINECO,acronym,Spain,,2034,7743,4.0sigma+consolidation
Japan Agency for Medical Research and Development,Japan Agency,alias,Japan,,3825,7405,4.0sigma+consolidation
Japan Agency for Medical Research and Development,AMED,acronym,Japan,,3580,7405,4.0sigma+consolidation
Austrian Science Fund,Austrian Science Fund,primary,Austria,,4257,7133,4.0sigma+consolidation
Austrian Science Fund,FWF,acronym,Austria,,2876,7133,4.0sigma+consolidation
Bundesministerium fur Bildung und Forschung,BMBF,acronym,Germany,,3971,6976,4.0sigma+consolidation
Bundesministerium fur Bildung und Forschung,German Federal Ministry,alias,Germany,,3005,6976,4.0sigma+consolidation
National Institute for Health Research,NIHR,acronym,UK,,6747,6747,4.0sigma+consolidation
Swedish Research Council,Swedish Research Council,primary,Sweden,,6286,6286,4.0sigma+consolidation
Swedish Research Council,VR,acronym_manual,Sweden,,0,6286,4.0sigma+consolidation
Swedish Research Council,Vetenskapsradet,alias_manual,Sweden,,0,6286,4.0sigma+consolidation
Howard Hughes Medical Institute,Howard Hughes Medical Institute,primary,USA,,4454,5972,4.0sigma+consolidation
Howard Hughes Medical Institute,HHMI,acronym,USA,,1518,5972,4.0sigma+consolidation
Australian Research Council,Australian Research Council,primary,Australia,,5642,5642,4.0sigma+consolidation
Australian Research Council,ARC,acronym_manual,Australia,,0,5642,4.0sigma+consolidation
National Institute of General Medical Sciences,NIGMS,acronym,USA,National Institutes of Health,5583,5583,4.0sigma+consolidation
"Ministry of Education, Culture, Sports, Science and Technology",MEXT,acronym,Japan,,5523,5523,4.0sigma+consolidation
Natural Sciences and Engineering Research Council of Canada,NSERC,acronym,Canada,,5302,5302,4.0sigma+consolidation
Department of Energy,DOE,acronym,USA,,5122,5122,4.0sigma+consolidation
Fundacao para a Ciencia e a Tecnologia,FCT,acronym,Portugal,,5010,5010,4.0sigma+consolidation
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,CAPES,acronym,Brazil,,5006,5006,4.0sigma+consolidation
European Commission,European Commission,primary,EU,,4798,4798,4.0sigma+consolidation
European Commission,EC,acronym_manual,EU,,0,4798,4.0sigma+consolidation
European Commission,EU,acronym_manual,EU,,0,4798,4.0sigma+consolidation
European Commission,European Union,alias_manual,EU,,0,4798,4.0sigma+consolidation
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,FAPESP,acronym,Brazil,,4778,4778,4.0sigma+consolidation
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,Sao Paulo Research Foundation,alias_manual,Brazil,,0,4778,4.0sigma+consolidation
Bill and Melinda Gates Foundation,Melinda Gates Foundation,alias,USA,,4661,4661,4.0sigma+consolidation
Bill and Melinda Gates Foundation,BMGF,acronym_manual,USA,,0,4661,4.0sigma+consolidation
Bill and Melinda Gates Foundation,Gates Foundation,alias_manual,USA,,0,4661,4.0sigma+consolidation
National Health and Medical Research Council,NHMRC,acronym,Australia,,4286,4286,4.0sigma+consolidation
Italian Ministry,Italian Ministry,primary,Italy,,4283,4283,4.0sigma+consolidation
China Postdoctoral Science Foundation,China Postdoctoral Science Foundation,primary,China,,4214,4214,4.0sigma+consolidation
National Human Genome Research Institute,National Human Genome Research Institute,primary,USA,National Institutes of Health,2365,3913,4.0sigma+consolidation
National Human Genome Research Institute,NHGRI,acronym,USA,National Institutes of Health,1548,3913,4.0sigma+consolidation
China Scholarship Council,China Scholarship Council,primary,China,,2522,3677,4.0sigma+consolidation
China Scholarship Council,CSC,acronym,China,,1155,3677,4.0sigma+consolidation
