canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type
National Natural Science Foundation of China,National Natural Science Foundation,alias,China,,89214,99031,4.0sigma+consolidation,ner_pipeline,government
National Natural Science Foundation of China,NSFC,acronym,China,,7224,99031,4.0sigma+consolidation,ner_pipeline,government
National Natural Science Foundation of China,grants from the National Natural Science Foundation,alias,China,,2593,99031,4.0sigma+consolidation,ner_pipeline,government
National Natural Science Foundation of China,NNSFC,acronym_manual,China,,0,99031,4.0sigma+consolidation,ner_pipeline,government
National Natural Science Foundation of China,Natural Science Foundation of China,alias_manual,China,,0,99031,4.0sigma+consolidation,ner_pipeline,government
National Institutes of Health,NIH,acronym,USA,,71044,71044,4.0sigma+consolidation,ner_pipeline,government
National Science Foundation,National Science Foundation,primary,USA,,30741,45566,4.0sigma+consolidation,ner_pipeline,government
National Science Foundation,NSF,acronym,USA,,14825,45566,4.0sigma+consolidation,ner_pipeline,government
National Science Foundation,US National Science Foundation,alias_manual,USA,,0,45566,4.0sigma+consolidation,ner_pipeline,government
European Research Council,European Research Council,primary,EU,European Commission,15744,25664,4.0sigma+consolidation,ner_pipeline,supranational
European Research Council,ERC,acronym,EU,European Commission,9920,25664,4.0sigma+consolidation,ner_pipeline,supranational
Medical Research Council,Medical Research Council,primary,UK,UK Research and Innovation,16958,23913,4.0sigma+consolidation,ner_pipeline,government
Medical Research Council,MRC,acronym,UK,UK Research and Innovation,6955,23913,4.0sigma+consolidation,ner_pipeline,government
Medical Research Council,UK Medical Research Council,alias_manual,UK,UK Research and Innovation,0,23913,4.0sigma+consolidation,ner_pipeline,government
Japan Society for the Promotion of Science,Japan Society,alias,Japan,,11390,21489,4.0sigma+consolidation,ner_pipeline,government
Japan Society for the Promotion of Science,JSPS,acronym,Japan,,10099,21489,4.0sigma+consolidation,ner_pipeline,government
Deutsche Forschungsgemeinschaft,DFG,acronym,Germany,,12851,21342,4.0sigma+consolidation,ner_pipeline,government
Deutsche Forschungsgemeinschaft,German Research Foundation,alias,Germany,,8491,21342,4.0sigma+consolidation,ner_pipeline,government
Wellcome Trust,Wellcome Trust,primary,UK,,20201,21058,4.0sigma+consolidation,ner_pipeline,philanthropy
Wellcome Trust,a Wellcome Trust,alias,UK,,857,21058,4.0sigma+consolidation,ner_pipeline,philanthropy
Wellcome Trust,Wellcome,alias_manual,UK,,0,21058,4.0sigma+consolidation,ner_pipeline,philanthropy
National Research Foundation of Korea,National Research Foundation,alias,Korea,,10876,20271,4.0sigma+consolidation,ner_pipeline,government
National Research Foundation of Korea,NRF,acronym,Korea,,9395,20271,4.0sigma+consolidation,ner_pipeline,government
National Research Foundation of Korea,Korea National Research Foundation,alias_manual,Korea,,0,20271,4.0sigma+consolidation,ner_pipeline,government
Biotechnology and Biological Sciences Research Council,Biological Sciences Research Council,alias,UK,UK Research and Innovation,8471,16877,4.0sigma+consolidation,ner_pipeline,government
Biotechnology and Biological Sciences Research Council,BBSRC,acronym,UK,UK Research and Innovation,7583,16877,4.0sigma+consolidation,ner_pipeline,government
Biotechnology and Biological Sciences Research Council,Biotechnology and Biological Sciences Research Council,primary,UK,UK Research and Innovation,823,16877,4.0sigma+consolidation,ner_pipeline,government
Agence Nationale de la Recherche,ANR,acronym,France,,13195,15083,4.0sigma+consolidation,ner_pipeline,government
